Title,Date
"Godless: Limited Series: Wisdom of the Horse","1/22/25"
"Godless: Limited Series: The Ladies of La Belle","1/22/25"
"Godless: Limited Series: An Incident at Creede","1/15/25"
"I AM A KILLER: Season 6: A Mother's Choice Pt. 1","1/13/25"
"American Primeval: Limited Series: Episode 6","1/11/25"
"American Primeval: Limited Series: Episode 5","1/11/25"
"American Primeval: Limited Series: Episode 4","1/10/25"
"American Primeval: Limited Series: Episode 3","1/10/25"
"American Primeval: Limited Series: Episode 2","1/10/25"
"American Primeval: Limited Series: Episode 1","1/9/25"
"Jerry Springer: Fights, Camera, Action: Limited Series: Episode 2","1/8/25"
"Jerry Springer: Fights, Camera, Action: Limited Series: Episode 1","1/8/25"
"Interstellar","1/7/25"
"The Dark Tower","1/1/25"
"The Six Triple Eight","12/27/24"
"Godzilla x Kong: The New Empire","12/23/24"
"La Palma: Limited Series: Take-off","12/20/24"
"La Palma: Limited Series: Cry Wolf","12/20/24"
"Jamie Foxx: What Had Happened Was...","12/18/24"
"Carry-On","12/13/24"
"The Madness: Limited Series: No More Madness","12/12/24"
"The Madness: Limited Series: DNA","12/11/24"
"The Madness: Limited Series: Loco","12/11/24"
"The Madness: Limited Series: Icarus","12/11/24"
"The Madness: Limited Series: Radioactive","12/10/24"
"The Madness: Limited Series: Discord","12/10/24"
"The Madness: Limited Series: Djibouti","12/10/24"
"The Madness: Limited Series: Pilot","12/10/24"
"Uprising","12/9/24"
"Robin Hood","12/4/24"
"Arcane: Season 2: The Dirt Under Your Nails","11/26/24"
"Arcane: Season 2: Killing Is a Cycle","11/26/24"
"Arcane: Season 2: Pretend Like It's the First Time","11/26/24"
"Robin Hood","11/22/24"
"Arcane: Season 2: The Message Hidden Within the Pattern","11/20/24"
"Arcane: Season 2: Blisters and Bedrock","11/20/24"
"Arcane: Season 2: Paint the Town Blue","11/20/24"
"Arcane: Season 2: Finally Got the Name Right","11/19/24"
"Arcane: Season 1: Some Mysteries Are Better Left Unsolved","11/19/24"
"Jake Paul vs. Mike Tyson","11/16/24"
"Arcane: Season 1: Welcome to the Playground","11/15/24"
"Arcane: Season 2: Watch It All Burn","11/14/24"
"Arcane: Season 2: Heavy Is the Crown","11/13/24"
"Time Cut","11/8/24"
"Kung Fu Panda 4","11/5/24"
"The Shadow Strays","10/29/24"
"Snake Eyes: G.I. Joe Origins","10/22/24"
"Godzilla Minus One","10/20/24"
"Van Helsing","10/19/24"
"Into the Fire: The Lost Daughter: Part 1","10/14/24"
"Tomb Raider: The Legend of Lara Croft: Season 1: A Single Step","10/12/24"
"Mr. McMahon: Limited Series: The Finish","10/9/24"
"Mr. McMahon: Limited Series: Family Business","10/8/24"
"Mr. McMahon: Limited Series: Attitude","10/7/24"
"Mr. McMahon: Limited Series: Screwjob","10/2/24"
"Mr. McMahon: Limited Series: Heat","10/2/24"
"Mr. McMahon: Limited Series: Junior","9/30/24"
"Twilight of the Gods: Song of Sigrid","9/21/24"
"Twilight of the Gods: If I Had a Hammer","9/21/24"
"Twilight of the Gods: Now Hear Of...","9/20/24"
"Twilight of the Gods: The Scapegoat God","9/20/24"
"Twilight of the Gods: The Worm","9/20/24"
"Twilight of the Gods: You Will Gladden His Ravens","9/20/24"
"Twilight of the Gods: Heretic Spear","9/20/24"
"Twilight of the Gods: The Bride-Price","9/20/24"
"The Rundown","9/13/24"
"Hellboy","9/11/24"
"Caught in the Web: The Murders Behind Zona Divas: Limited Series: It's Not Easy Money","9/9/24"
"The Equalizer 3","9/7/24"
"Rebel Ridge","9/7/24"
"The Abyss","8/31/24"
"Wyatt Earp and The Cowboy War: Trouble in Tombstone","8/31/24"
"The Equalizer","8/31/24"
"The Deliverance","8/31/24"
"30 for 30: Nature Boy","8/30/24"
"Going Varsity in Mariachi","8/29/24"
"KAOS: Episode 1","8/29/24"
"Nowhere","8/29/24"
"Terminator Zero: Model 108","8/29/24"
"Terminator Zero: Model 107","8/29/24"
"Terminator Zero: Model 106","8/29/24"
"Terminator Zero: Model 105","8/29/24"
"Terminator Zero: Model 104","8/29/24"
"Terminator Zero: Model 103","8/29/24"
"Terminator Zero: Model 102","8/29/24"
"Terminator Zero: Model 101","8/29/24"
"Jack Reacher: Never Go Back","8/29/24"
"Homicide: New York: Carnegie Deli Massacre","8/29/24"
"Rebel Moon — Part One: Director’s Cut","8/29/24"
"The Mortal Instruments: City of Bones","8/29/24"
"Worst Ex Ever: Married to a Monster","8/29/24"
"Worst Ex Ever: Killing for Custody","8/29/24"
"Worst Ex Ever: Betrayed by the Badge","8/28/24"
"Worst Ex Ever: Dating the Devil","8/28/24"
"Ashley Madison: Sex, Lies & Scandal: Live in truth","8/28/24"
"Ashley Madison: Sex, Lies & Scandal: We got hacked!","8/28/24"
"Untold: Sign Stealer","8/28/24"
"The Walking Dead: Daryl Dixon: L'âme Perdue","8/28/24"
"Incoming","8/28/24"
"Ashley Madison: Sex, Lies & Scandal: Life’s short, have an affair","8/27/24"
"The Umbrella Academy: Season 4: The Squid and the Girl","8/27/24"
"Untold: The Murder of Air McNair","8/27/24"
"Maharaja","8/24/24"
"The Umbrella Academy: Season 4: Jean and Gene","8/10/24"
"The Umbrella Academy: Season 4: The Unbearable Tragedy of Getting What You Want","8/10/24"
"The Umbrella Academy: Season 1: We Only See Each Other at Weddings and Funerals","8/8/24"
"Bitconned","8/6/24"
"Missing: Dead or Alive?: Episode 1","8/2/24"
"The Yara Gambirasio Case: Beyond Reasonable Doubt: Limited Series: Episode 5","8/2/24"
"The Yara Gambirasio Case: Beyond Reasonable Doubt: Limited Series: Episode 4","8/2/24"
"The Yara Gambirasio Case: Beyond Reasonable Doubt: Limited Series: Episode 3","8/2/24"
"The Yara Gambirasio Case: Beyond Reasonable Doubt: Limited Series: Episode 2","8/2/24"
"The Yara Gambirasio Case: Beyond Reasonable Doubt: Limited Series: Episode 1","7/31/24"
"Don't F**k with Cats: Hunting an Internet Killer: Limited Series: Closing the Net","7/30/24"
"Don't F**k with Cats: Hunting an Internet Killer: Limited Series: Killing for Clicks","7/30/24"
"Don't F**k with Cats: Hunting an Internet Killer: Limited Series: Cat and Mouse","7/29/24"
"Brawl in Cell Block 99","7/29/24"
"Land of Bad","7/28/24"
"Montford: The Chickasaw Rancher","7/28/24"
"Dirty Pop: The Boy Band Scam: Limited Series: Blood Money","7/27/24"
"Dirty Pop: The Boy Band Scam: Limited Series: Business Is Business","7/26/24"
"Dirty Pop: The Boy Band Scam: Limited Series: Purveyor of Pop","7/25/24"
"The Long Game","7/25/24"
"Bone Tomahawk","7/25/24"
"Homicide: Los Angeles: The Disappearing Wife","7/24/24"
"Homicide: Los Angeles: A Hollywood Affair","7/24/24"
"Homicide: Los Angeles: Murder at the Beach","7/24/24"
"Homicide: Los Angeles: Race Car Killer","7/23/24"
"Homicide: Los Angeles: Hunting Phil Spector","7/23/24"
"Vikings: Valhalla: Season 3: Destinies","7/21/24"
"Vikings: Valhalla: Season 3: Hardrada","7/21/24"
"Vikings: Valhalla: Season 3: Return to Kattegat","7/20/24"
"Vikings: Valhalla: Season 3: Greenland","7/19/24"
"Vikings: Valhalla: Season 3: The End of Jomsborg","7/19/24"
"Vikings: Valhalla: Season 3: Lost","7/18/24"
"Vikings: Valhalla: Season 3: Honour and Dishonour","7/17/24"
"Vikings: Valhalla: Season 3: Seven Years Later","7/16/24"
"Bionic","7/12/24"
"Freaks","7/12/24"
"Worst Roommate Ever: Season 1: Be Careful of the Quiet Ones","7/12/24"
"Worst Roommate Ever: Season 1: Call Me Grandma","7/12/24"
"Worst Roommate Ever: Season 2: The Lethal Landlord","7/12/24"
"Worst Roommate Ever: Season 2: Burning Down the House","7/11/24"
"Worst Roommate Ever: Season 2: Housemate from Hell","7/11/24"
"Worst Roommate Ever: Season 2: My BFF Tried to Kill Me","7/9/24"
"Hate to Love: Nickelback","7/6/24"
"Beverly Hills Cop: Axel F","7/6/24"
"Supacell: Supacell","7/3/24"
"Supacell: Rodney","7/2/24"
"Supacell: Andre","7/2/24"
"Supacell: Sabrina","7/2/24"
"Supacell: Tazer","6/30/24"
"Supacell: Michael","6/30/24"
"Better Than Us: Episode 3","6/25/24"
"Better Than Us: Episode 2","6/25/24"
"The Conjuring: The Devil Made Me Do It","6/25/24"
"Hit Man","6/22/24"
"Trigger Warning","6/22/24"
"Kevin Hart: The Kennedy Center Mark Twain Prize for American Humor","6/21/24"
"Remembering Gene Wilder","6/21/24"
"Ultraman: Rising","6/16/24"
"Ultraman: Season 3: The Disaster","6/16/24"
"Fire in Paradise","6/12/24"
"Power","6/9/24"
"Under Paris","6/7/24"
"Scavengers Reign: Scavengers Reign: Season 1: The Reunion","6/6/24"
"Scavengers Reign: Scavengers Reign: Season 1: The Return","6/6/24"
"Scavengers Reign: Scavengers Reign: Season 1: The Decision","6/6/24"
"Scavengers Reign: Scavengers Reign: Season 1: The Mountain","6/6/24"
"Scavengers Reign: Scavengers Reign: Season 1: The Nest","6/6/24"
"Scavengers Reign: Scavengers Reign: Season 1: The Cure","6/5/24"
"Scavengers Reign: Scavengers Reign: Season 1: The Fall","6/5/24"
"Scavengers Reign: Scavengers Reign: Season 1: The Demeter","6/5/24"
"Scavengers Reign: Scavengers Reign: Season 1: The Dream","6/5/24"
"Scavengers Reign: Scavengers Reign: Season 1: The Wall","6/5/24"
"Scavengers Reign: Scavengers Reign: Season 1: The Storm","6/5/24"
"Scavengers Reign: Scavengers Reign: Season 1: The Signal","6/4/24"
"Dancing for the Devil: The 7M TikTok Cult: Part III: Reap What You Sow","6/4/24"
"Dancing for the Devil: The 7M TikTok Cult: Part II: The Escape","6/4/24"
"Dancing for the Devil: The 7M TikTok Cult: Part I: Die to Yourself","6/3/24"
"Homicide: New York: East Harlem Serial Killer","5/31/24"
"Homicide: New York: Midtown Slasher","5/30/24"
"Homicide: New York: Vanished on Wall Street","5/29/24"
"Homicide: New York: Central Park Slaying","5/28/24"
"Atlas","5/27/24"
"Blood of Zeus: Season 2: The Three Trials","5/23/24"
"Blood of Zeus: Season 2: Winter Is Born","5/23/24"
"Upgrade","5/21/24"
"Madame Web","5/19/24"
"Better Than Us: Episode 1","5/17/24"
"Blood of Zeus: Season 2: The Hidden Realm","5/16/24"
"Blood of Zeus: Season 2: Crossing Paths","5/16/24"
"Blood of Zeus: Season 2: Judgement Day","5/15/24"
"Blood of Zeus: Season 2: Funeral Games","5/15/24"
"Blood of Zeus: Season 2: Weights & Measures","5/15/24"
"Blood of Zeus: Season 2: A Shadow Emerges","5/15/24"
"Blood of Zeus: Season 1: War for Olympus","5/15/24"
"Blood of Zeus: Season 1: The Fields of the Dead","5/15/24"
"Blood of Zeus: Season 1: Back to Olympus","5/15/24"
"Blood of Zeus: Season 1: Escape or Die","5/15/24"
"Blood of Zeus: Season 1: A Monster is Born","5/14/24"
"Blood of Zeus: Season 1: The Raid","5/14/24"
"Blood of Zeus: Season 1: Past is Prologue","5/13/24"
"Blood of Zeus: Season 1: A Call to Arms","5/13/24"
"Warrior: Season 3: A Window of F*cking Opportunity","5/8/24"
"Warrior: Season 3: All of Death Is a Going Home","5/7/24"
"Warrior: Season 3: You Know When You're Losing a Fight","5/6/24"
"Warrior: Season 3: Gotta Be Crooked to Get Along in a Crooked World","5/5/24"
"One Piece: 3D2Y - Overcome Ace's Death! Luffy's Vow to His Friends","5/4/24"
"Warrior: Season 3: A Soft Heart Won't Do You No Favors","5/4/24"
"Warrior: Season 3: Whiskey and Sticky and All the Rest Can Wait","5/4/24"
"Warrior: Season 3: In Chinatown, No One Thinks About Forever","5/3/24"
"Warrior: Season 3: No Time for F*cking Chemistry","5/3/24"
"Warrior: Season 3: Anything Short of a Blow to the Head","5/3/24"
"Warrior: Season 3: Exactly the Wrong Time to Get Proud","5/3/24"
"Warrior: Season 2: Man on the Wall","5/2/24"
"Warrior: Season 2: Enter the Dragon","5/2/24"
"Warrior: Season 2: All Enemies, Foreign and Domestic","5/2/24"
"Warrior: Season 2: If You Wait by the River Long Enough…","5/2/24"
"Warrior: Season 2: To a Man with a Hammer, Everything Looks Like a Nail","5/1/24"
"Warrior: Season 2: Not for a Drink, a F*ck, or a G**damn Prayer","5/1/24"
"Warrior: Season 2: If You Don't See Blood, You Didn't Come to Play","5/1/24"
"Warrior: Season 2: Not How We Do Business","5/1/24"
"Warrior: Season 2: The Chinese Connection","4/30/24"
"Warrior: Season 2: Learn to Endure, or Hire a Bodyguard","4/29/24"
"Warrior: Season 1: If You're Going to Bow, Bow Low","4/26/24"
"Warrior: Season 1: Chinese Boxing","4/26/24"
"Warrior: Season 1: They Don't Pay Us Enough to Think","4/26/24"
"Warrior: Season 1: The Tiger and the Fox","4/26/24"
"Warrior: Season 1: Chewed Up, Spit Out, and Stepped On","4/26/24"
"Warrior: Season 1: The Blood and the Sh*t","4/26/24"
"Warrior: Season 1: The White Mountain","4/26/24"
"Dead Boy Detectives: The Case of Crystal Palace","4/25/24"
"Warrior: Season 1: John Chinaman","4/23/24"
"Warrior: Season 1: There's No China in the Bible","4/22/24"
"Rebel Moon — Part Two: The Scargiver","4/20/24"
"Creating a Universe - The Making of Rebel Moon","4/19/24"
"Warrior: Season 1: The Itchy Onion","4/18/24"
"Warriors of Future","4/17/24"
"What Jennifer Did","4/14/24"
"The Circle","4/14/24"
"Strange Way of Life","4/14/24"
"Parasyte: The Grey: Limited Series: Episode 6","4/11/24"
"Parasyte: The Grey: Limited Series: Episode 5","4/11/24"
"Parasyte: The Grey: Limited Series: Episode 4","4/11/24"
"Parasyte: The Grey: Limited Series: Episode 3","4/9/24"
"Parasyte: The Grey: Limited Series: Episode 2","4/7/24"
"Parasyte: The Grey: Limited Series: Episode 1","4/6/24"
"Total Recall","4/5/24"
"3 Body Problem: Season 1: Wallfacer","3/27/24"
"3 Body Problem: Season 1: Only Advance","3/27/24"
"3 Body Problem: Season 1: The Stars Our Destination","3/26/24"
"3 Body Problem: Season 1: Judgment Day","3/26/24"
"3 Body Problem: Season 1: Our Lord","3/26/24"
"3 Body Problem: Season 1: Destroyer of Worlds","3/26/24"
"3 Body Problem: Season 1: Red Coast","3/25/24"
"3 Body Problem: Season 1: Countdown","3/25/24"
"I AM A STALKER: Red Flags","3/22/24"
"How to Fix a Drug Scandal: Limited Series: Episode 4","3/21/24"
"How to Fix a Drug Scandal: Limited Series: Episode 3","3/19/24"
"Spaceman","3/15/24"
"How to Fix a Drug Scandal: Limited Series: Episode 2","3/15/24"
"How to Fix a Drug Scandal: Limited Series: Episode 1","3/12/24"
"Damsel","3/8/24"
"Avatar The Last Airbender: Legends","3/8/24"
"Avatar The Last Airbender: The North","3/7/24"
"Avatar The Last Airbender: Masks","3/5/24"
"Avatar The Last Airbender: Spirited Away","3/4/24"
"Avatar The Last Airbender: Into the Dark","3/1/24"
"Avatar The Last Airbender: Omashu","2/29/24"
"Code 8","2/29/24"
"Code 8 Part II","2/29/24"
"Avatar The Last Airbender: Warriors","2/27/24"
"Avatar The Last Airbender: Aang","2/23/24"
"Spider-Man: Across the Spider-Verse","2/23/24"
"I AM A STALKER: Extreme Best Friends","2/22/24"
"I AM A STALKER: Imminent Fear﻿","2/21/24"
"Dredd","2/21/24"
"I AM A STALKER: Close to Death","2/20/24"
"I AM A STALKER: A Family Stalked","2/15/24"
"Griselda: Limited Series: Mutiny","2/15/24"
"Lover, Stalker, Killer","2/15/24"
"Dune","2/12/24"
"American Nightmare: Part One: The Boyfriend","2/12/24"
"The Greatest Night in Pop","2/12/24"
"Griselda: Limited Series: Rich White People","2/7/24"
"Griselda: Limited Series: Lady Comes to Town","2/5/24"
"Masters of the Universe: Revolution: The Scepter and the Sword","1/29/24"
"Masters of the Universe: Revolution: The Dogs of War","1/29/24"
"Masters of the Universe: Revolution: More Things in Heaven and Eternia","1/27/24"
"Masters of the Universe: Revolution: Ascension","1/26/24"
"Masters of the Universe: Revolution: Even for Kings","1/25/24"
"The Night Agent: Season 1: The Call","1/24/24"
"Cowboys & Aliens","1/24/24"
"Gyeongseong Creature: Season 1: Imprinting","1/17/24"
"Gyeongseong Creature: Season 1: Signal","1/17/24"
"Gyeongseong Creature: Season 1: Mother","1/17/24"
"Gyeongseong Creature: Season 1: Najin","1/17/24"
"The Wolfman","1/17/24"
"Slumberland","1/14/24"
"Lucy","1/14/24"
"High Plains Drifter","1/13/24"
"Lift","1/13/24"
"The Brothers Sun: Protect the Family","1/13/24"
"The Brothers Sun: Gymkata","1/13/24"
"The Brothers Sun: Whatever You Want","1/12/24"
"The Brothers Sun: Pilot","1/11/24"
"John Wick: Chapter 3 - Parabellum","1/10/24"
"John Wick: Chapter 2","1/9/24"
"John Wick","1/8/24"
"The Witcher: Season 3: The Cost of Chaos","1/8/24"
"The Witcher: Season 3: The Invitation","1/8/24"
"Dave Chappelle: The Dreamer","1/4/24"
"Sweet Home: Season 2: Episode 8","1/4/24"
"Sweet Home: Season 2: Episode 7","1/4/24"
"Sweet Home: Season 2: Episode 6","1/4/24"
"Sweet Home: Season 2: Episode 5","12/29/23"
"Sweet Home: Season 2: Episode 4","12/29/23"
"Sweet Home: Season 2: Episode 3","12/29/23"
"The Witcher: Season 3: Reunion","12/29/23"
"Sweet Home: Season 2: Episode 2","12/28/23"
"Sweet Home: Season 2: Episode 1","12/27/23"
"Sweet Home: Season 1: Episode 2","12/27/23"
"Sweet Home: Season 1: Episode 1","12/27/23"
"Yu Yu Hakusho: Episode 5","12/27/23"
"Yu Yu Hakusho: Episode 4","12/27/23"
"Yu Yu Hakusho: Episode 3","12/27/23"
"Yu Yu Hakusho: Episode 2","12/26/23"
"Yu Yu Hakusho: Episode 1","12/26/23"
"Chicken Run: Dawn of the Nugget","12/23/23"
"Rebel Moon — Part One: A Child of Fire","12/22/23"
"Hunter Killer","12/21/23"
"Maestro","12/21/23"
"Unsolved Mysteries: Volume 3: The Ghost in Apartment 14","12/18/23"
"Unsolved Mysteries: Volume 3: Body in the Bay","12/18/23"
"Black Adam","12/18/23"
"Godzilla: King of the Monsters","12/17/23"
"Cold Case Files: Season 2: The Voice In The Lake","12/14/23"
"My Lover My Killer: Season 2: Episode 1","12/14/23"
"My Lover My Killer: Season 2: Episode 10","12/12/23"
"My Lover My Killer: Season 2: Episode 9","12/12/23"
"My Lover My Killer: Season 2: Episode 8","12/11/23"
"My Lover My Killer: Season 2: Episode 7","12/9/23"
"My Lover My Killer: Season 2: Episode 6","12/7/23"
"My Lover My Killer: Season 2: Episode 5","12/7/23"
"My Lover My Killer: Season 2: Episode 4","12/4/23"
"My Lover My Killer: Season 2: Episode 3","12/1/23"
"My Lover My Killer: Season 2: Episode 2","12/1/23"
"The Silencing","11/30/23"
"The Mother","11/28/23"
"Deliver Us from Evil","11/27/23"
"Legion","11/27/23"
"Drag Me to Hell","11/27/23"
"Veronica","11/27/23"
"The Wretched","11/27/23"
"ONE PIECE: EAT AT BARATIE!","11/26/23"
"The Mummy","11/26/23"
"Yakitori: Soldiers of Misfortune: A Diplomatic Mission","11/26/23"
"Dampyr","11/26/23"
"The Amazing Spider-Man 2","11/25/23"
"Encounters: Messengers","11/25/23"
"Life on Our Planet: Chapter 2: The First Frontier","11/25/23"
"Life on Our Planet: Chapter 1: The Rules of Life","11/25/23"
"Leo","11/25/23"
"Mech Cadets: Evolution","11/22/23"
"Mech Cadets: Underdogs","11/22/23"
"Conan the Barbarian","11/21/23"
"When Missing Turns to Murder: Season 2: Episode 10","11/16/23"
"Buried: The 1982 Alpine Meadows Avalanche","11/16/23"
"When Missing Turns to Murder: Season 2: Episode 9","11/14/23"
"When Missing Turns to Murder: Season 2: Episode 8","11/13/23"
"BLUE EYE SAMURAI: The Great Fire of 1657","11/12/23"
"BLUE EYE SAMURAI: Nothing Broken","11/12/23"
"BLUE EYE SAMURAI: All Evil Dreams and Angry Words","11/12/23"
"BLUE EYE SAMURAI: The Tale of the Ronin and the Bride","11/12/23"
"BLUE EYE SAMURAI: Peculiarities","11/12/23"
"BLUE EYE SAMURAI: A Fixed Number of Paths","11/10/23"
"Old Dads","11/10/23"
"Till Murder Do Us Part: Soering vs. Haysom: Limited Series: A Love Story","11/10/23"
"BLUE EYE SAMURAI: An Unexpected Element","11/10/23"
"BLUE EYE SAMURAI: Hammerscale","11/8/23"
"Onimusha: Yang Soul","11/6/23"
"Onimusha: Harbinger","11/6/23"
"Onimusha: Oni","11/3/23"
"Onimusha: Yin Soul","11/3/23"
"Onimusha: Bewitch","11/3/23"
"Onimusha: Nightmare","11/3/23"
"Onimusha: Mountain Demon","11/3/23"
"Onimusha: Demon","11/2/23"
"When Missing Turns to Murder: Season 2: Episode 7","11/1/23"
"When Missing Turns to Murder: Season 2: Episode 6","10/31/23"
"When Missing Turns to Murder: Season 2: Episode 5","10/30/23"
"When Missing Turns to Murder: Season 2: Episode 4","10/27/23"
"When Missing Turns to Murder: Season 2: Episode 3","10/26/23"
"When Missing Turns to Murder: Season 2: Episode 2","10/25/23"
"When Missing Turns to Murder: Season 2: Episode 1","10/24/23"
"Catching Killers: Season 1: True Lies, Part 2: The Happy Face Killer","10/23/23"
"Catching Killers: Season 1: True Lies, Part 1: The Happy Face Killer","10/23/23"
"Catching Killers: Season 1: Manhunter: Aileen Wuornos","10/20/23"
"Catching Killers: Season 1: Body Count: The Green River Killer","10/20/23"
"Catching Killers: Season 2: Missing Men Part 2: The Toronto Village Killer","10/19/23"
"Catching Killers: Season 2: Missing Men Part 1: The Toronto Village Killer","10/19/23"
"Catching Killers: Season 2: Thrill Kills: The Phoenix Serial Shooter","10/18/23"
"Catching Killers: Season 2: Bind. Torture. Kill: BTK","10/17/23"
"Catching Killers: Season 3: Trained to Kill: The DC Sniper","10/17/23"
"Catching Killers: Season 3: Manhunt: The Olympic Park Bomber","10/16/23"
"Catching Killers: Season 3: Night Terror: New York Zodiac Killer","10/13/23"
"Catching Killers: Season 3: End of the Line: The Railroad Killer","10/13/23"
"Missing: Dead or Alive?: Episode 4","10/12/23"
"Missing: Dead or Alive?: Episode 3","10/11/23"
"Missing: Dead or Alive?: Episode 2","10/10/23"
"Ragnarok: Season 3: Ragnarok","10/5/23"
"Castlevania: Nocturne: Season 1: Devourer of Light","10/3/23"
"Castlevania: Nocturne: Season 1: Blood Is the Only Way","10/3/23"
"Castlevania: Nocturne: Season 1: Guilty Men to Be Judged","10/2/23"
